perc_pixels,cutoff_sol,carbon_strg,prop_carbon_strg
0.54,0.46000054478645325,900094153801.9305,0.5446838521476408
0.55,0.4500012993812561,916254949380.1051,0.5544634117105037
0.56,0.44000107049942017,932135065940.3331,0.564073120899307
0.5700000000000001,0.43000084161758423,948088388050.6656,0.5737271297659396
0.5800000000000001,0.4200006425380707,964027310173.17,0.5833724246099248
0.59,0.41000136733055115,979892863703.6117,0.5929733211127113
0.6,0.4000011384487152,995652288333.5814,0.6025099946693881
0.61,0.39000093936920166,1011724901572.2194,0.6122361914854904
0.62,0.3800007104873657,1027457792644.394,0.6217568084991824
0.63,0.3700004816055298,1042984753364.7454,0.6311528086193732
0.64,0.36000123620033264,1058711888272.2883,0.6406699423419984
0.65,0.3500010073184967,1073791703233.8423,0.649795356242576
0.66,0.34000077843666077,1087462659211.0709,0.6580682118463648
0.67,0.3300005793571472,1101494490718.3274,0.6665594480195761
0.68,0.3200013041496277,1115670934856.6797,0.675138195221097
0.6900000000000001,0.31000107526779175,1130612049979.5708,0.6841796761663321
0.7000000000000001,0.3000008761882782,1146356546162.1626,0.6937073159078353
0.7100000000000001,0.29000064730644226,1162741265805.9624,0.7036223810976797
0.72,0.28000137209892273,1179187523097.392,0.7135746852394955
0.73,0.2700011730194092,1194513377576.2534,0.722848987733007
0.74,0.26000094413757324,1208473355497.9473,0.7312967423575276
0.75,0.2500007152557373,1221871117985.1987,0.7394042773869365
0.76,0.24000050127506256,1234945450010.6904,0.7473160913919735
0.77,0.23000124096870422,1248188564483.9707,0.755330042571714
0.78,0.22000101208686829,1261816539058.6714,0.7635768883677501
0.79,0.21000079810619354,1275722679274.6587,0.7719920635906479
0.8,0.2000005692243576,1289798354898.2651,0.7805098316350937
0.81,0.19000130891799927,1304135634370.4531,0.7891859068870468
0.8200000000000001,0.18000109493732452,1318546248273.8313,0.797906359808055
0.8300000000000001,0.1700008660554886,1332748500864.8623,0.806500724761745
0.8400000000000001,0.16000065207481384,1347043677087.5732,0.8151513216123373
0.85,0.1500013917684555,1361352298503.2083,0.8238100547000597
0.86,0.14000116288661957,1375685451227.3665,0.8324836326876943
0.87,0.13000094890594482,1390709303497.349,0.841575181270635
0.88,0.12000072747468948,1406033818373.7864,0.850848673115832
0.89,0.11000050604343414,1421432901460.1384,0.8601672892401421
0.9,0.1000012457370758,1436587918099.0046,0.8693382107569101
0.91,0.09000102430582047,1451524045217.2268,0.8783766732561458
0.92,0.08000080287456512,1466196591108.7754,0.8872556319553714
0.93,0.07000058144330978,1480940685359.1943,0.8961778874981102
0.9400000000000001,0.060001324862241745,1495192192900.6921,0.9048020586404576
0.9500000000000001,0.050001103430986404,1509093118035.4023,0.9132140780039963
0.9600000000000001,0.040000881999731064,1522803720480.1145,0.9215109253096995
0.97,0.030000662431120872,1536320995590.4976,0.9296907823241725
0.98,0.020001400262117386,1550138682867.7144,0.9380524310496258
0.99,0.01000117976218462,1563539927677.6538,0.9461620733751749
1,9.588858347342466e-7,1576601604942.4006,0.95406622946598
